YearBuilt,SqFootageFinishedLiving,ADDRESS,ASSESSMENT,LOTSQFT.x
1976,1232,815 PROSPECT AVE ,128000,3615.48
1976,1448,813 PROSPECT AVE ,142500,3615.48
1977,1232,811 PROSPECT AVE ,124400,3615.48
1977,1232,809 PROSPECT AVE ,123300,3615.48
1977,1232,807 PROSPECT AVE ,124400,3615.48
1977,1232,805 PROSPECT AVE ,118900,3615.48
1977,1232,803 PROSPECT AVE ,122100,3615.48
1977,1232,801 PROSPECT AVE ,123800,4530.24
1979,1232,942 ROCK CREEK RD ,121000,4791.6
1979,1232,944 ROCK CREEK RD ,126300,4835.16
1980,1232,946 ROCK CREEK RD ,125500,7013.16
1980,1232,948 ROCK CREEK RD ,123900,8450.64
1980,1232,950 ROCK CREEK RD ,124900,11412.72
1980,1200,952 ROCK CREEK RD ,123900,8755.56
1980,1232,954 ROCK CREEK RD ,129300,8973.36
1980,1200,956 ROCK CREEK RD ,128400,4138.2
1980,1232,958 ROCK CREEK RD ,119900,3876.84
1980,1262,960 ROCK CREEK RD ,164500,3963.96
1980,1232,962 ROCK CREEK RD ,121000,3659.04
1980,1232,964 ROCK CREEK RD ,122000,4356
1980,1232,966 ROCK CREEK RD ,121400,4181.76
1980,1232,968 ROCK CREEK RD ,105700,4399.56
1980,1240,970 ROCK CREEK RD ,125400,4660.92
1980,1232,972 ROCK CREEK RD ,121000,4748.04
1980,1200,974 ROCK CREEK RD ,125400,4922.28
1980,1200,976 ROCK CREEK RD ,121000,5401.44
1980,1232,978 ROCK CREEK RD ,116900,5706.36
1980,1232,980 ROCK CREEK RD ,127500,4835.16
1980,1232,982 ROCK CREEK RD ,135800,4094.64
1980,1232,984 ROCK CREEK RD ,143400,4094.64
2006,1152,991 ROCK CREEK RD ,142800,3310.56
2006,1152,989 ROCK CREEK RD ,142700,3310.56
2006,1152,987 ROCK CREEK RD ,134800,3789.72
2006,1216,985 ROCK CREEK RD ,128400,0
1979,1200,983 ROCK CREEK RD ,109600,4748.04
1979,1232,981 ROCK CREEK RD ,118800,5227.2
1979,1232,979 ROCK CREEK RD ,113100,3876.84
1979,1232,977 ROCK CREEK RD ,111600,3963.96
1979,1232,975 ROCK CREEK RD ,123900,4094.64
1979,1232,973 ROCK CREEK RD ,103300,4181.76
1979,1232,971 ROCK CREEK RD ,121000,4312.44
1979,1232,969 ROCK CREEK RD ,118800,4573.8
1979,1232,967 ROCK CREEK RD ,121000,4835.16
1979,1766,965 ROCK CREEK RD ,149800,5096.52
1979,1200,949 ROCK CREEK RD ,121000,6141.96
1979,1232,947 ROCK CREEK RD ,121000,4094.64
NA,NA,1521 ROCK CREEK RD ,1700,0
1981,1200,1039 5TH ST SW ,117700,0
1981,1200,1041 5TH ST SW ,117700,4399.56
1980,1232,1043 5TH ST SW ,116500,4530.24
1980,1232,1045 5TH ST SW ,116500,4660.92
1980,1232,1047 5TH ST SW ,116500,7056.72
1980,1232,1049 5TH ST SW ,116500,4356
1980,1232,1051 5TH ST SW ,116500,4399.56
1980,1232,1053 5TH ST SW ,116500,4225.32
NA,NA,0 CHERRY AVE-SHAMROCK RD ,13000,80586
1925,1488,1013 GROVE ST ,283900,14157
1925,1519,1015 GROVE ST ,249800,11717.64
1925,1229,1021 GROVE ST ,188000,4791.6
1925,1206,1023 GROVE ST ,199100,6403.32
1971,814,1025 GROVE ST ,270900,10149.48
1925,1478,1027 GROVE ST ,220100,6229.08
NA,NA,0 SPRING ST ,27600,7840.8
1925,868,202 SPRING ST ,138500,4573.8
1925,761,204 SPRING ST ,154800,5096.52
1961,1095,1101 GROVE ST ,276900,10062.36
1960,1032,1105 GROVE ST ,280000,10497.96
1920,1926,1107 GROVE ST ,151800,6926.04
1956,1068,1111 GROVE ST ,261900,8494.2
1925,1072,1113 GROVE ST ,231900,5314.32
2002,1274,1201 GROVE ST ,259800,5314.32
1953,1006,1203 GROVE ST ,193000,4007.52
1900,1128,1205 GROVE ST ,224300,5706.36
1925,1444,1207 GROVE ST ,245800,9452.52
1980,900,1306 GROVE ST ,243200,7927.92
1990,1236,1220 GROVE ST ,192900,3615.48
1980,900,1304 GROVE ST ,311000,7274.52
1990,1236,1222 GROVE ST ,192900,3615.48
1990,1236,1218 GROVE ST ,192900,3615.48
1990,1236,1216 GROVE ST ,192900,3615.48
1980,1104,1307 KING ST ,282900,7579.44
1987,910,1305 KING ST ,269300,7187.4
1954,1035,1301 KING ST ,215500,7187.4
1973,1164,1303 KING ST ,255900,9016.92
1945,1718,1209 KING ST ,252100,7187.4
1957,1521,1211 KING ST ,271600,8624.88
1963,900,1214 GROVE ST ,204800,10454.4
1925,1032,1208 GROVE ST ,214100,7187.4
1925,857,1206 GROVE ST ,204800,7187.4
1962,1005,1207 KING ST ,228700,7187.4
1914,2048,1205 KING ST ,191900,7187.4
1958,876,1204 GROVE ST ,224800,7187.4
NA,NA,0 GROVE ST ,133200,28793.16
1937,1335,302 SPRING ST ,259100,10193.04
1952,864,1108 GROVE ST ,217800,10149.48
1925,1210,1105 KING ST ,249100,10105.92
1980,2442,1102 GROVE ST ,176700,10236.6
1980,2442,1101 KING ST ,349100,10454.4
1868,1475,1023 KING ST ,195600,5445
1925,1125,1024 GROVE ST ,210400,5445
1910,962,1022 GROVE ST ,236900,2744.28
1945,935,1021 KING ST ,167000,2744.28
1925,991,1020 GROVE ST ,191300,5749.92
2003,1887,1018 GROVE ST ,315100,3441.24
1925,1647,1016 GROVE ST ,258200,3702.6
1945,1353,1017 KING ST ,194400,3702.6
1925,1021,1015 KING ST ,148300,4660.92
1925,1872,1014 GROVE ST ,395300,4660.92
1925,1404,1012 GROVE ST ,164600,5445
2014,2056,1010 GROVE ST ,433600,5445
1927,1588,1008 GROVE ST ,183800,10933.56
1925,2701,1006 GROVE ST ,281300,10759.32
1925,2082,1004 GROVE ST ,239200,5575.68
NA,NA,1002 GROVE ST ,82400,5445
NA,NA,1000 GROVE ST ,99800,7405.2
1940,1123,1001 KING ST ,184000,3484.8
1925,1879,1000 KING ST ,253800,7187.4
1900,1530,1002 KING ST ,238900,7187.4
1900,1590,1004 KING ST ,239500,7187.4
1959,801,1006 KING ST ,225800,7187.4
1940,1326,1005 CHERRY AVE ,229900,7187.4
1900,1646,1005 CHERRY AVE ,229900,7187.4
1900,1412,1007 CHERRY AVE ,237700,7797.24
1925,1713,1009 CHERRY AVE ,170400,7187.4
1961,1036,1008 KING ST ,239500,7187.4
1958,996,1010 KING ST ,171700,7187.4
1952,750,1011 CHERRY AVE ,209200,6011.28
1952,761,1013 CHERRY AVE ,158800,6011.28
1952,789,1015 CHERRY AVE ,138000,6011.28
1952,1164,1017 CHERRY AVE ,176600,6011.28
1952,1103,402 JONES ST ,221600,8712
1955,867,400 JONES ST ,210000,8712
1959,913,403 JONES ST ,216600,5532.12
1957,957,401 JONES ST ,215200,5532.12
1960,864,1104 KING ST ,193500,6359.76
1960,880,1106 KING ST ,211000,6359.76
1925,1839,1101 CHERRY AVE ,246900,7318.08
1925,1118,1103 CHERRY AVE ,140200,12850.2
1925,1781,1111 CHERRY AVE ,259300,5793.48
1959,1212,1107 CHERRY AVE ,207000,6098.4
1900,1360,1108 KING ST ,243500,7971.48
1920,1066,1110 KING ST ,135800,3963.96
1900,1283,1112 KING ST ,186100,4007.52
1915,992,1113 CHERRY AVE ,159400,7927.92
1939,824,1200 KING ST ,194200,7143.84
1939,828,1204 KING ST ,204900,7187.4
1933,890,405 SPRING ST ,228200,6969.6
1935,1726,407 SPRING ST ,283200,5706.36
NA,NA,0 BINGLER ST ,50900,7187.4
NA,NA,0 BINGLER ST ,50900,7187.4
1925,1809,1206 KING ST ,219800,7187.4
NA,NA,0 KING ST ,95200,7187.4
1900,1697,1208 KING ST ,245600,14418.36
1925,1107,1210 KING ST ,266000,14200.56
1923,1252,1300 KING ST ,240700,7187.4
2008,1666,1302 KING ST ,264500,7187.4
1935,1080,1304 KING ST ,212500,7187.4
1937,1082,1306 KING ST ,182900,7971.48
2006,1267,1311 NUNLEY ST ,191400,5619.24
2006,1548,1309 NUNLEY ST ,272400,4356
2006,1549,1307 NUNLEY ST ,193000,4356
2006,1136,1305 NUNLEY ST ,259400,4356
2006,1082,1303 NUNLEY ST ,199600,3876.84
2006,1148,1301 NUNLEY ST ,190400,5662.8
1921,1716,501 HANOVER ST ,343000,9191.16
NA,NA,0 PATON ST ,207900,22128.48
2010,800,516 PATON ST ,165600,0
2010,800,518 PATON ST ,165600,0
2010,800,520 PATON ST ,165600,0
2010,800,522 PATON ST ,165600,0
2010,666,1345 FRANCIS FIFE WAY ,169500,0
2010,666,1343 FRANCIS FIFE WAY ,169500,0
2010,661,1341 FRANCIS FIFE WAY ,168300,0
1946,1184,500 HANOVER ST ,227500,7884.36
NA,NA,0 HANOVER ST ,52700,6098.4
1949,1543,1201 CHERRY AVE ,291000,8232.84
NA,NA,0 CHERRY AVE ,34400,12022.56
2011,1760,511 HANOVER ST ,383000,3223.44
2010,1743,515 HANOVER ST ,293900,3267
2010,1564,512 PATON ST ,280000,2047.32
2012,1564,508 PATON ST ,237200,2047.32
2012,1134,1312 NUNLEY ST ,202300,1219.68
2012,2362,1310 NUNLEY ST ,316400,1785.96
0,1134,1306 NUNLEY ST ,1200,1219.68
2012,1134,1306 NUNLEY ST ,208600,1219.68
2010,1558,1304 NUNLEY ST ,281500,2090.88
2012,1724,507 HANOVER ST ,292600,3833.28
1949,1003,1211 CHERRY AVE ,201700,6621.12
1946,887,1215 CHERRY AVE ,189200,8319.96
1967,1015,504 HANOVER ST ,263700,7143.84
1967,1056,504 HANOVER ST ,263700,7143.84
1957,1300,506 HANOVER ST ,257900,9365.4
1954,1058,1223 CHERRY AVE ,238600,7840.8
1945,842,1303 CHERRY AVE ,175300,14810.4
1946,571,1305 CHERRY AVE ,222700,13634.28
1946,661,1305 CHERRY AVE ,222700,13634.28
1942,1765,0 CHERRY AVE ,252600,12022.56
1940,1312,1309 CHERRY AVE ,296900,12458.16
1962,1319,1119 FOREST HILLS AVE ,288100,13068
1967,1290,1117 FOREST HILLS AVE ,279700,8407.08
1955,1157,1111 FOREST HILLS AVE ,216500,8102.16
1953,792,1109 FOREST HILLS AVE ,167100,7492.32
1953,813,1113 FOREST HILLS AVE ,176800,7492.32
1953,838,1103 FOREST HILLS AVE ,193900,7492.32
1953,1326,1101 FOREST HILLS AVE ,229000,7492.32
NA,NA,0 FOREST HILLS AVE ,48200,13590.72
1955,960,1041 FOREST HILLS AVE ,185300,8145.72
1955,900,1039 FOREST HILLS AVE ,195800,8145.72
1956,1090,1126 FOREST HILLS AVE ,336800,9191.16
1949,1100,1404 CHERRY AVE ,224400,11238.48
1951,2178,1408 CHERRY AVE ,265800,11238.48
1951,1408,1410 CHERRY AVE ,254800,7840.8
1949,848,1412 CHERRY AVE ,192600,8232.84
1950,886,1414 CHERRY AVE ,186700,8232.84
1951,1120,1416 CHERRY AVE ,213800,8624.88
1951,1171,1418 CHERRY AVE ,225700,7884.36
1949,1356,1419 CHERRY AVE ,324800,7013.16
1946,1272,1421 CHERRY AVE ,157800,5096.52
1948,1008,1417 CHERRY AVE ,205500,6141.96
1948,724,1415 CHERRY AVE ,183500,6403.32
1959,1191,1413 CHERRY AVE ,232700,9713.88
1949,1110,1411 CHERRY AVE ,216600,9757.44
1952,785,1409 CHERRY AVE ,169600,8494.2
1951,1222,1407 CHERRY AVE ,249400,0
1946,951,1405 CHERRY AVE ,258000,8494.2
1952,780,1403 CHERRY AVE ,165300,8494.2
1951,1008,1401 CHERRY AVE ,202900,13111.56
1955,1173,1401 BAKER ST ,248300,9234.72
1955,1118,1403 BAKER ST ,208500,7318.08
1956,867,1405 BAKER ST ,206700,7230.96
NA,NA,0 PATON ST ,0,39900.96
2009,1278,519 PATON ST ,187900,2700.72
2009,884,501 PATON ST ,190700,3615.48
2009,1292,517 PATON ST ,191300,2221.56
2009,1161,515 PATON ST ,199200,2221.56
2009,1127,513 PATON ST ,208800,2221.56
2009,672,511 PATON ST ,177900,2221.56
2009,672,509 PATON ST ,181400,2221.56
2009,884,507 PATON ST ,192800,2178
2009,884,505 PATON ST ,189900,2221.56
2009,1326,503 PATON ST ,192800,2178
1980,900,301 PATON ST ,244500,21300.84
1980,900,303 PATON ST ,244500,7274.52
1980,900,305 PATON ST ,244500,7274.52
1980,900,307 PATON ST ,244500,19209.96
1980,900,309 PATON ST ,244500,12545.28
1980,900,401 PATON ST ,244500,12545.28
1980,900,403 PATON ST A&B,244500,27137.88
1980,900,405 PATON ST ,219600,7187.4
1980,900,407 PATON ST ,218500,7361.64
1980,900,409 PATON ST ,258700,7274.52
1961,925,124 NORTH BAKER ST ,184200,10802.88
1961,893,126 NORTH BAKER ST ,201500,11543.4
1925,1248,127 NORTH BAKER ST ,222400,8886.24
1925,1488,125 NORTH BAKER ST ,222400,8363.52
NA,NA,0 GROVE ST ,33800,6490.44
NA,NA,1611 GROVE ST EXT ,43900,11674.08
NA,NA,1613 GROVE ST EXT ,43900,11674.08
1960,960,122 NORTH BAKER ST ,182000,8973.36
1957,1482,120 NORTH BAKER ST ,236000,11717.64
1957,976,118 NORTH BAKER ST ,222200,7187.4
1957,1005,116 NORTH BAKER ST ,215600,7187.4
1957,1048,114 NORTH BAKER ST ,216500,7187.4
1957,1116,112 NORTH BAKER ST ,235000,7187.4
1957,932,110 NORTH BAKER ST ,218300,7187.4
1957,1025,108 NORTH BAKER ST ,230800,7187.4
1958,1056,106 NORTH BAKER ST ,231600,7187.4
1958,1032,104 NORTH BAKER ST ,220500,7143.84
1957,1024,102 NORTH BAKER ST ,206700,6316.2
1957,995,100 NORTH BAKER ST ,203800,6141.96
1958,1171,1407 BAKER ST ,237600,6664.68
1955,912,1400 BAKER ST ,227700,7100.28
1955,1012,1402 BAKER ST ,211300,6621.12
1956,876,1404 BAKER ST ,187500,7753.68
1956,960,1406 BAKER ST ,288400,7535.88
NA,NA,1408 BAKER ST ,215100,7623
1956,962,1408 BAKER ST ,215100,7623
1956,994,1410 BAKER ST ,200200,7187.4
1956,1028,1412 BAKER ST ,196700,8319.96
1960,1008,1411 BAKER ST ,226200,7143.84
2001,1359,1409 BAKER ST ,277400,6316.2
1958,1008,101 NORTH BAKER ST ,183200,6838.92
1958,1020,103 NORTH BAKER ST ,280100,7840.8
1971,1075,105 NORTH BAKER ST ,213200,9104.04
1957,985,107 NORTH BAKER ST ,223000,7797.24
1956,1186,109 NORTH BAKER ST ,249500,7797.24
1957,1052,111 NORTH BAKER ST ,246200,7797.24
1956,1013,113 NORTH BAKER ST ,263700,7797.24
1956,1063,115 NORTH BAKER ST ,253100,7797.24
1957,1085,117 NORTH BAKER ST ,225500,7797.24
1957,1091,119 NORTH BAKER ST ,210000,7230.96
1957,1652,121 NORTH BAKER ST ,258100,8712
1967,835,123 NORTH BAKER ST ,235200,7361.64
1973,2168,308 VALLEY RD EXT ,249200,12240.36
1972,2192,310 VALLEY RD EXT ,249300,9191.16
1973,2188,312 VALLEY RD EXT ,263700,9060.48
2008,1274,316 VALLEY RD EXT ,194600,4225.32
2008,1274,318 VALLEY RD EXT ,193900,4138.2
2008,1236,320 VALLEY RD EXT ,189400,3441.24
2008,1236,322 VALLEY RD EXT ,189800,3659.04
2007,944,400 VALLEY RD EXT ,194000,3789.72
2007,944,402 VALLEY RD EXT ,194000,7143.84
1998,1817,1300 CHERRY AVE ,283700,7274.52
1946,1312,1224 CHERRY AVE ,298800,8015.04
1942,2037,1220 CHERRY AVE ,328000,13329.36
1942,1339,1214 CHERRY AVE ,207800,6011.28
1977,2124,1216 CHERRY AVE ,252800,9016.92
1977,2124,1212 CHERRY AVE ,248000,6011.28
1952,720,1210 CHERRY AVE ,173300,9452.52
1952,748,1208 CHERRY AVE ,163900,6011.28
1953,972,1206 CHERRY AVE ,184400,5967.72
1953,868,1204 CHERRY AVE ,215000,5706.36
1953,941,1202 CHERRY AVE ,170200,5052.96
1975,720,1200 CHERRY AVE ,231300,7230.96
1951,1016,1104 CHERRY AVE ,153600,6446.88
1951,1269,1102 CHERRY AVE ,194200,6446.88
1954,1042,1018 CHERRY AVE ,174400,7100.28
1946,1200,1016 CHERRY AVE ,183500,7100.28
1946,987,1014 CHERRY AVE ,176900,7100.28
1953,962,1010 CHERRY AVE ,196700,7100.28
1953,968,1008 CHERRY AVE ,206900,7971.48
1953,962,1006 CHERRY AVE ,184200,7100.28
NA,NA,0 CHERRY AVE ,12600,3484.8
1947,2098,1002 CHERRY AVE ,256300,10977.12
1955,2104,1049 FOREST HILLS AVE ,246200,8145.72
1954,858,1047 FOREST HILLS AVE ,198800,8145.72
1954,1311,1029 FOREST HILLS AVE ,210700,8145.72
1953,1294,1027 FOREST HILLS AVE ,221900,8145.72
1955,1098,1025 FOREST HILLS AVE ,218400,8145.72
1955,1479,1023 FOREST HILLS AVE ,250200,8145.72
1960,887,1019 FOREST HILLS AVE ,180900,7492.32
1953,1997,1017 FOREST HILLS AVE ,309800,8755.56
1954,919,1015 FOREST HILLS AVE ,229300,8145.72
1955,1021,1011 FOREST HILLS AVE ,207500,8145.72
1955,955,1009 FOREST HILLS AVE ,172200,8145.72
1963,884,1007 FOREST HILLS AVE ,255000,8145.72
1977,2096,1001 FOREST HILLS AVE ,256700,13895.64
1956,1137,1401 FOREST RIDGE RD ,232800,9888.12
1955,1009,1102 FOREST HILLS AVE ,222300,9408.96
1959,1221,1104 FOREST HILLS AVE ,195700,7056.72
1955,1156,1106 FOREST HILLS AVE ,198900,7797.24
1955,1219,1108 FOREST HILLS AVE ,210300,8145.72
1953,1942,1110 FOREST HILLS AVE ,205700,8145.72
1984,2174,1112 FOREST HILLS AVE ,302700,10018.8
1955,1238,1114 FOREST HILLS AVE ,264500,8145.72
1955,1209,1116 FOREST HILLS AVE ,260400,7579.44
1955,1612,1118 FOREST HILLS AVE ,264900,16465.68
1955,962,1120 FOREST HILLS AVE ,232900,3659.04
1955,949,1122 FOREST HILLS AVE ,221200,11586.96
1959,1086,110 LAUREL CIR ,226200,12283.92
1959,1051,112 LAUREL CIR ,220700,7884.36
1956,1075,114 LAUREL CIR ,248700,7492.32
1960,1079,116 LAUREL CIR ,221300,8015.04
1963,913,607 ROCK CREEK RD ,196400,7535.88
1958,1109,605 ROCK CREEK RD ,224400,8581.32
1959,1071,108 LAUREL CIR ,170000,15507.36
1961,985,106 LAUREL CIR ,228100,7187.4
1961,1013,104 LAUREL CIR ,227000,8102.16
1959,1224,102 LAUREL CIR ,239200,8799.12
1959,1105,100 LAUREL CIR ,213200,9888.12
1959,1107,611 ROCK CREEK RD ,251500,7710.12
1956,1810,613 ROCK CREEK RD ,256500,6708.24
1963,1826,615 ROCK CREEK RD ,256500,6664.68
1963,1350,617 ROCK CREEK RD ,270400,9888.12
1962,1281,1433 BRIARCLIFF AVE ,262300,11325.6
1959,1180,1431 BRIARCLIFF AVE ,295600,8712
1956,991,1429 BRIARCLIFF AVE ,246000,8537.76
1957,1220,1427 BRIARCLIFF AVE ,247700,8407.08
1957,1220,1425 BRIARCLIFF AVE ,244100,8276.4
1956,1238,1423 BRIARCLIFF AVE ,292800,10585.08
1956,1002,1421 BRIARCLIFF AVE ,226200,12327.48
1956,1226,1419 BRIARCLIFF AVE ,214100,13634.28
1956,989,1417 BRIARCLIFF AVE ,213600,11630.52
1956,992,1415 BRIARCLIFF AVE ,221100,11020.68
1955,997,1413 BRIARCLIFF AVE ,257100,14941.08
1956,1505,1409 FOREST RIDGE RD ,264900,10236.6
1956,1447,1407 FOREST RIDGE RD ,285200,8145.72
1956,999,1405 FOREST RIDGE RD ,171100,7797.24
1955,999,1403 FOREST RIDGE RD ,212300,6272.64
1955,1043,1412 BRIARCLIFF AVE ,218000,7056.72
1956,1013,1414 BRIARCLIFF AVE ,225300,7187.4
1956,839,1416 BRIARCLIFF AVE ,204200,8886.24
1956,1211,1418 BRIARCLIFF AVE ,252900,8973.36
1956,1395,1424 BRIARCLIFF AVE ,259200,6664.68
1956,1307,1426 BRIARCLIFF AVE ,247800,6882.48
1956,1125,1428 BRIARCLIFF AVE ,253900,6882.48
1958,1109,1430 BRIARCLIFF AVE ,275300,6882.48
1956,988,1432 BRIARCLIFF AVE ,225400,7361.64
1972,1226,701 ROCK CREEK RD ,222800,8712
1967,1025,703 ROCK CREEK RD ,240400,8929.8
1965,991,705 ROCK CREEK RD ,220400,7492.32
1963,1000,707 ROCK CREEK RD ,220700,6882.48
1967,1029,709 ROCK CREEK RD ,218200,6795.36
1968,1106,711 ROCK CREEK RD ,231100,6708.24
1969,1040,713 ROCK CREEK RD ,224400,6621.12
1967,1047,1431 FOREST RIDGE RD ,270700,9234.72
1967,1001,1429 FOREST RIDGE RD ,241100,8363.52
1966,1509,1425 FOREST RIDGE RD ,283700,9670.32
1968,1291,1423 FOREST RIDGE RD ,268000,10018.8
1968,1618,1421 FOREST RIDGE RD ,303700,7971.48
1966,1540,1419 FOREST RIDGE RD ,248400,7797.24
1968,1010,1417 FOREST RIDGE RD ,265800,7797.24
1968,1544,1415 FOREST RIDGE RD ,236800,7797.24
1964,1544,1413 FOREST RIDGE RD ,240500,7797.24
1969,1041,120 OLINDA DR ,247400,7143.84
1966,1139,118 OLINDA DR ,250900,6098.4
1965,1075,116 OLINDA DR ,261900,6534
1965,1061,114 OLINDA DR ,236500,7013.16
1965,1085,112 OLINDA DR ,247500,8929.8
1972,1726,110 OLINDA DR ,256600,7361.64
1969,1754,108 OLINDA DR ,283300,7971.48
1965,1187,106 OLINDA DR ,251900,11151.36
1972,1726,104 OLINDA DR ,284700,7361.64
1969,1260,102 OLINDA DR ,255300,6969.6
1963,1070,100 OLINDA DR ,217200,7884.36
1956,1123,1406 FOREST RIDGE RD ,222600,8450.64
1956,999,1408 FOREST RIDGE RD ,245900,7579.44
1956,1104,1410 FOREST RIDGE RD ,247400,7710.12
1968,1044,1412 FOREST RIDGE RD ,242100,8450.64
1968,1044,1414 FOREST RIDGE RD ,238800,8450.64
1958,1203,1416 FOREST RIDGE RD ,257400,8450.64
1960,1055,1418 FOREST RIDGE RD ,251700,8450.64
1967,1020,1420 FOREST RIDGE RD ,231200,8973.36
1966,1048,1422 FOREST RIDGE RD ,273400,9713.88
1967,1047,1424 FOREST RIDGE RD ,214700,8189.28
1968,1309,1426 FOREST RIDGE RD ,242300,9408.96
1967,1208,1428 FOREST RIDGE RD ,265000,9888.12
1966,1025,1430 FOREST RIDGE RD ,239300,8407.08
1967,1040,1432 FOREST RIDGE RD ,246500,8624.88
NA,NA,604 ROCK CREEK RD ,59400,8799.12
1961,1051,606 ROCK CREEK RD ,239100,14287.68
1961,1055,608 ROCK CREEK RD ,240900,9408.96
1978,1500,700 ROCK CREEK RD A&B,256500,13895.64
1983,2152,704 ROCK CREEK RD ,270800,13024.44
1981,2012,706 ROCK CREEK RD ,270900,11891.88
2015,1664,710 ROCK CREEK RD ,286600,8102.16
1982,2012,708 ROCK CREEK RD ,270800,8232.84
1971,3023,712 ROCK CREEK RD A&B,325200,10236.6
2016,1664,714 ROCK CREEK RD ,304100,10585.08
1973,2440,716 ROCK CREEK RD ,331000,7492.32
NA,NA,0 ROCK CREEK RD ,0,128066.4
2010,1966,810 ROCK CREEK RD ,237100,0
2010,1326,828 ROCK CREEK RD ,245600,0
2010,1249,830 ROCK CREEK RD ,236300,0
2010,1320,832 ROCK CREEK RD ,233700,0
2010,1386,834 ROCK CREEK RD ,239700,0
2010,1832,836 ROCK CREEK RD ,227900,0
2010,2300,838 ROCK CREEK RD ,271100,0
2010,1224,840 ROCK CREEK RD ,231600,0
2010,1880,842 ROCK CREEK RD ,239800,0
2010,1884,844 ROCK CREEK RD ,240700,0
2010,1838,846 ROCK CREEK RD ,229200,0
2010,1948,812 ROCK CREEK RD ,244000,0
2010,1524,848 ROCK CREEK RD ,254900,0
2010,1510,850 ROCK CREEK RD ,268100,0
2010,1926,852 ROCK CREEK RD ,238600,0
2010,1256,854 ROCK CREEK RD ,232100,0
2010,2366,856 ROCK CREEK RD ,280200,0
2010,1972,814 ROCK CREEK RD ,239100,0
2010,1948,816 ROCK CREEK RD ,239700,0
2010,1972,818 ROCK CREEK RD ,237900,0
2010,1966,820 ROCK CREEK RD ,238300,0
2010,1568,822 ROCK CREEK RD ,274900,0
2010,1228,824 ROCK CREEK RD ,232200,0
2010,1266,826 ROCK CREEK RD ,239000,0
1980,1232,601 PROSPECT AVE ,100600,4443.12
1980,1232,603 PROSPECT AVE ,100600,4443.12
1973,1420,605 PROSPECT AVE ,107400,4660.92
1973,1298,607 PROSPECT AVE ,99500,4399.56
1973,1166,609 PROSPECT AVE ,94100,4312.44
1973,1174,611 PROSPECT AVE ,99800,3746.16
1979,1232,701 PROSPECT AVE ,100000,0
1979,1232,703 PROSPECT AVE ,100000,3702.6
1981,1232,705 PROSPECT AVE ,93200,40989.96
1981,1232,707 PROSPECT AVE ,101200,4094.64
1981,1232,709 PROSPECT AVE ,98700,4268.88
1981,1232,711 PROSPECT AVE ,96800,4094.64
1979,1232,713 PROSPECT AVE ,100000,3615.48
1979,1232,715 PROSPECT AVE ,99000,3615.48
1979,1200,717 PROSPECT AVE ,96800,3615.48
1979,1200,719 PROSPECT AVE ,96800,4138.2
1979,1232,721 PROSPECT AVE ,100000,4138.2
1979,1232,723 PROSPECT AVE ,100000,3615.48
1979,1200,725 PROSPECT AVE ,110600,3615.48
1979,1232,727 PROSPECT AVE ,117900,3615.48
1979,1232,729 PROSPECT AVE ,103300,3615.48
1979,1232,731 PROSPECT AVE ,100000,3615.48
1979,1232,733 PROSPECT AVE ,101800,3615.48
1979,1232,735 PROSPECT AVE ,101800,3615.48
1978,1382,737 PROSPECT AVE ,108100,0
1978,1382,739 PROSPECT AVE ,103600,3615.48
1978,1232,741 PROSPECT AVE ,100400,3615.48
1978,1232,743 PROSPECT AVE ,107000,3615.48
1978,1232,745 PROSPECT AVE ,100500,3615.48
1978,1232,747 PROSPECT AVE ,103200,3615.48
1978,1412,749 PROSPECT AVE ,107000,3615.48
1978,1232,751 PROSPECT AVE ,100000,3615.48
1978,1200,753 PROSPECT AVE ,132800,3615.48
1978,1352,755 PROSPECT AVE ,106100,3615.48
1978,1232,757 PROSPECT AVE ,100500,3615.48
1978,1232,759 PROSPECT AVE ,102000,3615.48
1978,1232,761 PROSPECT AVE ,102800,3615.48
1978,1232,763 PROSPECT AVE ,105200,3615.48
1978,1232,765 PROSPECT AVE ,100900,3615.48
1978,1200,767 PROSPECT AVE ,106500,3615.48
1978,1232,769 PROSPECT AVE ,115300,3615.48
1978,1232,771 PROSPECT AVE ,106300,3615.48
1978,1232,773 PROSPECT AVE ,106500,3615.48
1978,1232,775 PROSPECT AVE ,111200,3615.48
1978,1200,777 PROSPECT AVE ,108800,3615.48
1978,1402,779 PROSPECT AVE ,115300,4530.24
1978,1232,770 ORANGEDALE AVE ,117000,4530.24
1978,1232,768 ORANGEDALE AVE ,125200,3615.48
1978,1232,766 ORANGEDALE AVE ,123200,3615.48
1978,1449,764 ORANGEDALE AVE ,134400,3615.48
1976,1320,762 ORANGEDALE AVE ,122000,3615.48
1976,1320,760 ORANGEDALE AVE ,122000,3615.48
1978,1232,758 ORANGEDALE AVE ,118600,3615.48
1978,1232,756 ORANGEDALE AVE ,121300,3615.48
1978,1232,754 ORANGEDALE AVE ,118600,3615.48
1978,1232,752 ORANGEDALE AVE ,118600,3615.48
1978,1232,750 ORANGEDALE AVE ,122800,3615.48
1978,1232,748 ORANGEDALE AVE ,118600,3615.48
1978,1200,746 ORANGEDALE AVE ,128600,3615.48
1978,1232,744 ORANGEDALE AVE ,118600,3615.48
1979,1232,742 ORANGEDALE AVE ,122100,3615.48
1978,1232,740 ORANGEDALE AVE ,122100,3615.48
